,id,week,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text,home_team,away_team,neutral_site,conference_game,home_score,away_score
86361,401012867,8,Maryland,Big Ten,Iowa,Big Ten,0,23,40101286713,3,3,0,90,2,10,0,Fumble Recovery Touchdown (Opponent),"Tyrrell Pigrome run for a loss of 2 yards Tyrrell Pigrome fumbled, recovered by Iowa Anthony Nelson for a TD, (Miguel Recinos KICK)",Iowa,Maryland,FALSE,TRUE,23,0
87682,401013152,8,Syracuse,ACC,North Carolina,ACC,20,21,40101315219,3,6,0,17,4,5,75,Punt Return Touchdown,"Sterling Hofrichter punt for 58 yds , Dazz Newsome returns for 75 yds for a TD, (Freeman Jones KICK)",Syracuse,North Carolina,FALSE,TRUE,20,21
87774,401013152,8,North Carolina,ACC,Syracuse,ACC,34,34,40101315237,5,0,0,9,2,7,9,Passing Touchdown,"Nathan Elliott pass complete to Beau Corrales for 9 yds for a TD Nathan Elliott pass complete to Beau Corrales for 9 yds for a TD Nathan Elliott pass complete to Beau Corrales for 9 yds for a TD, (Freeman Jones KICK)",Syracuse,North Carolina,FALSE,TRUE,34,34
89085,401015019,8,Middle Tennessee,Conference USA,Charlotte,Conference USA,21,6,40101501925,4,9,0,75,2,13,0,Fumble Recovery Touchdown (Own),"Brent Stockstill pass complete to Gatlin Casey for 24 yds for a TD Gatlin Casey fumbled, forced by Nafees Lyon, recovered by MTnSt Gatlin Casey for a TD (Crews Holt KICK)",Middle Tennessee,Charlotte,FALSE,TRUE,21,6
92928,401022540,8,Wyoming,Mountain West,Utah State,Mountain West,6,24,40102254024,3,4,0,35,1,0,99,Kickoff Return Touchdown,"Cooper Rothe kickoff for 64 yds , Savon Scarver return for 99 yds for a TD (Dominik Eberle KICK)",Wyoming,Utah State,FALSE,TRUE,6,24
94183,401012322,9,Missouri,SEC,Kentucky,SEC,14,9,40101232220,4,5,0,10,4,3,67,Punt Return Touchdown,"Corey Fatony punt for 57 yds , Lynn Bowden Jr. returns for 67 yds for a TD (Two-Point Conversion FAILED)",Missouri,Kentucky,FALSE,TRUE,14,9
94759,401012776,9,Arizona State,Pac-12,USC,Pac-12,0,7,4010127761,1,12,0,58,4,3,82,Punt Return Touchdown,"Michael Sleep-Dalton punt for 40 yds , Tyler Vaughns returns for 82 yds for a TD (Michael Brown KICK)",USC,Arizona State,FALSE,TRUE,7,0
94876,401012776,9,USC,Pac-12,Arizona State,Pac-12,28,31,40101277619,3,2,0,55,4,10,92,Punt Return Touchdown,"Reid Budrovich punt for 37 yds , N'Keal Harry returns for 92 yds for a TD (Brandon Ruiz KICK)",USC,Arizona State,FALSE,TRUE,28,31
95499,401012811,9,Illinois,Big Ten,Maryland,Big Ten,3,7,4010128113,1,11,0,65,1,0,97,Kickoff Return Touchdown,"Chase McLaughlin kickoff for 62 yds , Javon Leake return for 97 yds for a TD (Joseph Petrino KICK)",Maryland,Illinois,FALSE,TRUE,7,3
96425,401013044,9,Iowa State,Big 12,Texas Tech,Big 12,0,7,4010130442,1,11,0,17,4,11,0,Blocked Punt Touchdown,Corey Dunn punt blocked by Thomas Leggett blocked by Thomas Leggett for a TD (Clayton Hatfield KICK),Iowa State,Texas Tech,FALSE,TRUE,0,7
96575,401013044,9,Iowa State,Big 12,Texas Tech,Big 12,31,31,40101304421,4,12,0,6,2,8,0,Fumble Recovery Touchdown (Opponent),"Brock Purdy sacked by Riko Jeffers for a loss of 6 yards Brock Purdy fumbled, forced by Riko Jeffers, recovered by TexTc Dakota Allen , return for 0 yards for a TD (Clayton Hatfield KICK)",Iowa State,Texas Tech,FALSE,TRUE,31,31
103519,401085385,9,Bethune-Cookman,,Nebraska,Big Ten,0,14,4010853852,1,10,0,70,4,1,77,Punt Return Touchdown,"Javaunie Francis punt for 47 yds , JD Spielman returns for 77 yds for a TD (Barret Pickering KICK)",Nebraska,Bethune-Cookman,FALSE,FALSE,14,0
104375,401012328,10,Ole Miss,SEC,South Carolina,SEC,0,7,4010123281,1,14,43,35,1,10,90,Kickoff Return Touchdown,"Luke Logan kickoff for 55 yds , Deebo Samuel return for 90 yds for a TD (Parker White KICK) OLE MISS Penalty, Defensive offside ( Yards) declined",Ole Miss,South Carolina,FALSE,TRUE,0,7
104768,401012330,10,Charlotte,Conference USA,Tennessee,SEC,0,7,4010123302,1,7,42,54,4,16,82,Punt Return Touchdown,"Kyle Corbett punt for 36 yds , Marquez Callaway returns for 82 yds for a TD (Brent Cimaglia KICK)",Tennessee,Charlotte,FALSE,FALSE,7,0
105283,401012782,10,UCLA,Pac-12,Oregon,Pac-12,0,7,4010127822,1,11,8,88,4,12,56,Punt Return Touchdown,"Stefan Flintoft punt for 44 yds , Ugochukwu Amadi returns for 56 yds for a TD (Adam Stack KICK)",Oregon,UCLA,FALSE,TRUE,7,0
106930,401013034,10,Oklahoma State,Big 12,Baylor,Big 12,10,14,40101303410,2,2,24,67,4,9,7,Blocked Punt Touchdown,"TEAM punt blocked by C. Morgan, Trestan Ebner return for 7 yds for a TD (Connor Martin KICK)",Baylor,Oklahoma State,FALSE,TRUE,14,10
109437,401013445,10,Alcorn State,,New Mexico State,,0,7,4010134451,1,14,47,65,1,10,99,Kickoff Return Touchdown,"Corey McCullough kickoff for 64 yds , Jason Huntley return for 99 yds for a TD (Dylan Brown KICK)",New Mexico State,Alcorn State,FALSE,FALSE,7,0
109647,401015032,10,Florida Atlantic,Conference USA,Florida International,Conference USA,7,0,4010150321,1,12,31,3,3,2,0,Fumble Recovery Touchdown (Own),"Devin Singletary run for 2 yds Devin Singletary fumbled, recovered by FlAtl Devin Singletary for a TD (Vladimir Rivas KICK)",Florida International,Florida Atlantic,FALSE,TRUE,0,7
111573,401019522,10,SMU,American Athletic,Houston,American Athletic,17,14,40101952210,2,12,0,24,3,11,24,Fumble Recovery Touchdown (Opponent),"Ben Hicks pass complete to Xavier Jones for 1 yd for a TD Xavier Jones fumbled, recovered by Houst Gleson Sprewell  , return for 24 yds (Dalton Witherspoon KICK)",SMU,Houston,FALSE,TRUE,17,14
112151,401020771,10,Ball State,Mid-American,Toledo,Mid-American,0,21,4010207715,1,7,43,72,3,7,0,Fumble Recovery Touchdown (Opponent),"Drew Plitt sacked by Terrance Taylor for a loss of 28 yards Drew Plitt fumbled, recovered by Toled Tuzar Skipper , return for 0 yards for a TD (Jameson Vest KICK)",Toledo,Ball State,FALSE,TRUE,21,0
112552,401020773,10,Western Michigan,Mid-American,Ohio,Mid-American,0,21,4010207735,1,2,49,16,4,2,13,Blocked Punt Touchdown,"Nick Mihalic punt blocked by DL Knock blocked by DL Knock  Alvin Floyd return for 13 yds for a TD, (Louie Zervos KICK)",Western Michigan,Ohio,FALSE,TRUE,0,21
113168,401021685,10,Louisiana Monroe,Sun Belt,Georgia Southern,Sun Belt,41,25,40102168522,4,10,37,27,4,5,5,Blocked Punt Touchdown,Jared Porter punt blocked by NaJee Thompson blocked by NaJee Thompson  Benz Josue return for 5 yds for a TD (Tyler Bass KICK),Louisiana Monroe,Georgia Southern,FALSE,TRUE,41,25
117238,401012886,11,Michigan State,Big Ten,Ohio State,Big Ten,6,16,40101288624,4,14,3,2,1,10,0,Fumble Recovery Touchdown (Opponent),"TEAM run for a loss of 2 yards TEAM fumbled, recovered by OhSt Dre'Mont Jones for a TD (Blake Haubeil KICK)",Michigan State,Ohio State,FALSE,TRUE,6,16
119402,401013174,11,Liberty,,Virginia,ACC,17,31,40101317412,3,14,50,75,1,10,90,Kickoff Return Touchdown,"Alex Probert kickoff for 65 yds , Joe Reed return for 90 yds for a TD (Brian Delaney KICK)",Virginia,Liberty,FALSE,FALSE,31,17
122722,401019528,11,Tulsa,American Athletic,Memphis,American Athletic,14,47,40101952820,4,12,31,66,4,16,72,Punt Return Touchdown,"Thomas Bennett punt for 38 yds , John Pop Williams returns for 72 yds for a TD (Riley Patterson KICK)",Memphis,Tulsa,FALSE,TRUE,47,14
123195,401020777,11,Toledo,Mid-American,Northern Illinois,Mid-American,9,17,40102077712,2,1,47,62,4,2,27,Blocked Punt Touchdown,"Bailey Flint punt blocked by Sutton Smith, Sutton Smith return for 27 yds for a TD, (Andrew Gantz KICK)",Northern Illinois,Toledo,FALSE,TRUE,17,9
123371,401020778,11,Eastern Michigan,Mid-American,Akron,Mid-American,10,7,40102077810,2,2,16,31,4,9,70,Punt Return Touchdown,"Jake Julien punt for 39 yds , Jeremiah Knight returns for 70 yds for a TD (Nick Gasser KICK)",Eastern Michigan,Akron,FALSE,TRUE,10,7
124551,401022554,11,Air Force,Mountain West,New Mexico,Mountain West,35,24,40102255420,3,2,49,1,1,10,0,Fumble Recovery Touchdown (Opponent),"Donald Hammond III run for no gain Donald Hammond III fumbled, forced by Adebayo Soremekun, recovered by NMex Jalin Burrell for a TD (Andrew Shelley KICK)",Air Force,New Mexico,FALSE,TRUE,35,24
124969,401022557,11,Utah State,Mountain West,San Jos?? State,Mountain West,0,7,4010225572,1,11,9,51,4,2,41,Punt Return Touchdown,"Taylor Hintze punt for no gain , Tre Jenkins returns for 10 yds Tre Jenkins return for 41 yds for a TD (Bryce Crawford KICK)",Utah State,San Jos?? State,FALSE,TRUE,0,7
128046,401012795,12,Washington State,Pac-12,Arizona,Pac-12,34,14,40101279512,2,7,0,35,2,11,0,Kicking Team Fumble Recovery Touchdown,"Jack Crane kickoff for 64 yds , Cedric Peterson return for a loss of 1 yard Cedric Peterson fumbled, recovered by WshSt Kainoa Wilson for a TD (Blake Mazza KICK)",Washington State,Arizona,FALSE,TRUE,34,14
128239,401012814,12,Illinois,Big Ten,Iowa,Big Ten,0,42,40101281420,3,13,0,22,4,13,61,Punt Return Touchdown,"Blake Hayes punt for 39 yds , Kyle Groeneweg returns for 61 yds for a TD (Miguel Recinos KICK)",Illinois,Iowa,FALSE,TRUE,0,42
