,data,index,column,old,new
409,data,71751,distance,0,9
410,data,71830,distance,0,10
411,data,73880,distance,0,2
412,data,73904,distance,0,3
413,data,73960,distance,0,2
414,data,74082,distance,0,6
415,data,74412,distance,0,1
416,data,74507,distance,0,10
417,data,74524,distance,0,1
418,data,74541,distance,0,4
419,data,74962,distance,0,1
420,data,75541,distance,0,5
421,data,75558,distance,0,8
422,data,75614,distance,0,1
423,data,75624,distance,0,1
424,data,75643,distance,0,1
425,data,76043,distance,0,9
426,data,76121,distance,0,11
427,data,76171,distance,0,4
428,data,76425,distance,0,2
429,data,76535,distance,0,3
430,data,77856,distance,0,9
431,data,77913,distance,0,24
432,data,78023,distance,0,7
433,data,78036,distance,0,1
434,data,78055,distance,0,3
435,data,78286,distance,0,1
436,data,78313,distance,0,3
437,data,78355,distance,0,13
438,data,78373,distance,0,5
439,data,80430,distance,0,2
440,data,80565,distance,0,7
441,data,82481,distance,0,4
442,data,82514,distance,0,11
443,data,82533,distance,0,4
444,data,82556,distance,0,3
445,data,82583,distance,0,6
446,data,84044,distance,0,3
447,data,84129,distance,0,1
448,data,84141,distance,0,18
449,data,84158,distance,0,2
450,data,84442,distance,0,3
451,data,84463,distance,0,3
452,data,84494,distance,0,10
453,data,84503,distance,0,2
454,data,84522,distance,0,9
455,data,84655,distance,0,3
456,data,84942,distance,0,1
457,data,85563,distance,0,6
458,data,85615,distance,0,15
459,data,86307,distance,0,7
460,data,86507,distance,0,4
461,data,86550,distance,0,5
462,data,86813,distance,0,4
463,data,86842,distance,0,9
464,data,86941,distance,0,1
465,data,86960,distance,0,3
466,data,87047,distance,0,6
467,data,87081,distance,0,1
468,data,87094,distance,0,10
469,data,87117,distance,0,2
470,data,87561,distance,0,6
471,data,87629,distance,0,1
472,data,87717,distance,0,8
473,data,87783,distance,0,4
474,data,88378,distance,0,2
475,data,88468,distance,0,1
476,data,88499,distance,0,3
477,data,88525,distance,0,5
478,data,88556,distance,0,10
479,data,89331,distance,0,2
480,data,89462,distance,0,3
481,data,90438,distance,0,11
482,data,91202,distance,0,1
483,data,91238,distance,0,8
484,data,91733,distance,0,1
485,data,91799,distance,0,1
486,data,92114,distance,0,8
487,data,92146,distance,0,6
488,data,92271,distance,0,3
489,data,94616,distance,0,5
490,data,94646,distance,0,1
491,data,94725,distance,0,7
492,data,96981,distance,0,8
493,data,96998,distance,0,1
494,data,97012,distance,0,1
495,data,97039,distance,0,5
496,data,97098,distance,0,1
497,data,97110,distance,0,1
498,data,97156,distance,0,5
499,data,97184,distance,0,4
500,data,97247,distance,0,5
501,data,98292,distance,0,1
502,data,98352,distance,0,2
503,data,98362,distance,0,1
504,data,98375,distance,0,13
505,data,98383,distance,0,1
506,data,98395,distance,0,4
507,data,99181,distance,0,3
508,data,99201,distance,0,4
509,data,99211,distance,0,5
510,data,100835,distance,0,1
511,data,100915,distance,0,8
512,data,101056,distance,0,1
513,data,101091,distance,0,1
514,data,101110,distance,0,3
515,data,102986,distance,0,3
516,data,103039,distance,0,6
517,data,103768,distance,0,1
518,data,103826,distance,0,1
519,data,106031,distance,0,4
520,data,106071,distance,0,1
521,data,106196,distance,0,5
522,data,106305,distance,0,4
523,data,106482,distance,0,3
524,data,108342,distance,0,2
525,data,108369,distance,0,5
526,data,108398,distance,0,4
527,data,108407,distance,0,9
528,data,108421,distance,0,5
529,data,108433,distance,0,1
530,data,108456,distance,0,1
531,data,108468,distance,0,5
532,data,109304,distance,0,7
533,data,109305,distance,0,22
534,data,109306,distance,0,1
535,data,109337,distance,0,6
536,data,109385,distance,0,8
537,data,109386,distance,0,1
538,data,110420,distance,0,4
539,data,110507,distance,0,3
540,data,110759,distance,0,9
541,data,110791,distance,0,1
542,data,110807,distance,0,10
543,data,110828,distance,0,1
544,data,110916,distance,0,10
545,data,111144,distance,0,3
546,data,111159,distance,0,1
547,data,111181,distance,0,6
548,data,111274,distance,0,3
549,data,111771,distance,0,10
550,data,112547,distance,0,8
551,data,112587,distance,0,13
552,data,112625,distance,0,1
553,data,117908,distance,0,1
554,data,117936,distance,0,1
555,data,117968,distance,0,8
556,data,118436,distance,0,2
557,data,118496,distance,0,6
558,data,118798,distance,0,3
559,data,118819,distance,0,6
560,data,118847,distance,0,8
561,data,118848,distance,0,3
562,data,118904,distance,0,7
563,data,121218,distance,0,7
564,data,121240,distance,0,1
565,data,122949,distance,0,3
566,data,122957,distance,0,3
567,data,123009,distance,0,8
568,data,123051,distance,0,9
569,data,126538,distance,0,6
570,data,129654,distance,0,3
571,data,129680,distance,0,8
572,data,131106,distance,0,12
573,data,131144,distance,0,9
574,data,131249,distance,0,10
575,data,131720,distance,0,11
576,data,131732,distance,0,3
577,data,131793,distance,0,2
578,data,131805,distance,0,5
579,data,134587,distance,0,4
580,data,134600,distance,0,2
581,data,137327,distance,0,4
582,data,137524,distance,0,6
583,data,137569,distance,0,3
584,data,137591,distance,0,4
585,data,138145,distance,0,1
586,data,138192,distance,0,1
587,data,138202,distance,0,2
588,data,138241,distance,0,2
589,data,138789,distance,0,1
590,data,138808,distance,0,1
591,data,138910,distance,0,1
592,data,139155,distance,0,10
593,data,140756,distance,0,3
594,data,140827,distance,0,7
595,data,140857,distance,0,8
596,data,140885,distance,0,5
597,data,140900,distance,0,1
598,data,141010,distance,0,2
599,data,141023,distance,0,1
600,data,141045,distance,0,2
601,data,141060,distance,0,2
602,data,141087,distance,0,1
603,data,141094,distance,0,1
604,data,141109,distance,0,4
605,data,141728,distance,0,1
606,data,141761,distance,0,1
607,data,141800,distance,0,1
608,data,141821,distance,0,2
609,data,142277,distance,0,3
610,data,142286,distance,0,4
611,data,142300,distance,0,2
612,data,142420,distance,0,2
613,data,149462,distance,0,6
614,data,149668,distance,0,2
615,data,149751,distance,0,2
616,data,149861,distance,0,3
617,data,149891,distance,0,2
618,data,149909,distance,0,3
619,data,150174,distance,0,17
620,data,151948,distance,0,1
621,data,151956,distance,0,5
622,data,152260,distance,0,9
623,data,152261,distance,0,7
624,data,152262,distance,0,2
625,data,152263,distance,0,1
626,data,152271,distance,0,10
627,data,152272,distance,0,7
628,data,152273,distance,0,3
629,data,152331,distance,0,9
630,data,152332,distance,0,5
631,data,152333,distance,0,4
632,data,152334,distance,0,4
633,data,152379,distance,0,12
634,data,152580,distance,0,1
635,data,152726,distance,0,8
636,data,152727,distance,0,8
637,data,152824,distance,0,7
638,data,153274,distance,0,1
639,data,153985,distance,0,4
640,data,154074,distance,0,2
641,data,154299,distance,0,10
642,data,154674,distance,0,2
643,data,154679,distance,0,1
644,data,154693,distance,0,7
645,data,154731,distance,0,6
646,data,154777,distance,0,5
647,data,154864,distance,0,4
648,data,154882,distance,0,3
649,data,154899,distance,0,1
650,data,155002,distance,0,4
651,data,155051,distance,0,22
652,data,155090,distance,0,7
653,data,155096,distance,0,9
654,data,155108,distance,0,9
655,data,155126,distance,0,8
656,data,155537,distance,0,1
657,data,155562,distance,0,1
658,data,155579,distance,0,2
659,data,155697,distance,0,8
660,data,156116,distance,0,7
661,data,156168,distance,0,7
662,data,156204,distance,0,9
663,data,156209,distance,0,4
664,data,156558,distance,0,1
665,data,156581,distance,0,8
666,data,156596,distance,0,3
667,data,156635,distance,0,5
668,data,156636,distance,0,6
669,data,156637,distance,0,1
670,data,156638,distance,0,6
671,data,156639,distance,0,6
672,data,156658,distance,0,10
673,data,156793,distance,0,3
674,data,156794,distance,0,8
675,data,156795,distance,0,10
676,data,156796,distance,0,10
677,data,157612,distance,0,4
678,data,157636,distance,0,3
679,data,157670,distance,0,2
680,data,157680,distance,0,4
681,data,157697,distance,0,6
682,data,157716,distance,0,8
