offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_time.minutes,end_period,end_yardline,end_time.minutes,end_time.seconds,elapsed.seconds,plays,yards,drive_result
Washington,Pac-12,Arizona State,Pac-12,401012751,40101275112,true,3,25,10,3,88,7,17,23,8,63,FG
Arizona State,Pac-12,Washington,Pac-12,401012751,40101275113,false,3,69,7,3,43,4,23,54,6,29,FUMBLE
Washington,Pac-12,Arizona State,Pac-12,401012751,40101275114,false,3,40,4,3,44,2,28,55,3,4,PUNT
Arizona State,Pac-12,Washington,Pac-12,401012751,40101275115,false,3,90,2,3,84,,41,47,3,6,PUNT
Washington,Pac-12,Arizona State,Pac-12,401012751,40101275116,true,3,33,,4,100,10,59,42,8,67,TD
Arizona State,Pac-12,Washington,Pac-12,401012751,40101275117,false,4,75,10,4,74,10,10,49,3,1,PUNT
Washington,Pac-12,Arizona State,Pac-12,401012751,40101275118,false,4,35,10,4,50,7,10,,4,15,PUNT
Arizona State,Pac-12,Washington,Pac-12,401012751,40101275119,true,4,55,7,4,0,2,54,16,10,55,TD
Washington,Pac-12,Arizona State,Pac-12,401012751,40101275120,false,4,25,2,4,50,,,54,7,25,Uncategorized
Illinois,Big Ten,Penn State,Big Ten,401012807,40101280710,true,2,25,8,2,100,6,47,24,5,75,TD
Penn State,Big Ten,Illinois,Big Ten,401012807,40101280711,false,2,88,6,2,55,4,3,44,7,33,PUNT
Illinois,Big Ten,Penn State,Big Ten,401012807,40101280712,false,2,13,4,2,41,,37,26,7,28,PUNT
Penn State,Big Ten,Illinois,Big Ten,401012807,40101280713,false,2,83,,2,83,,28,9,1,0,INT
Illinois,Big Ten,Penn State,Big Ten,401012807,40101280714,true,2,44,,2,35,,,28,5,32,END OF HALF
Illinois,Big Ten,Penn State,Big Ten,401012807,40101280715,true,3,25,15,3,100,10,36,24,9,75,TD
Penn State,Big Ten,Illinois,Big Ten,401012807,40101280716,true,3,80,10,3,0,8,36,,5,80,TD
Illinois,Big Ten,Penn State,Big Ten,401012807,40101280717,false,3,25,8,3,25,6,4,32,4,0,PUNT
Penn State,Big Ten,Illinois,Big Ten,401012807,40101280718,true,3,60,6,4,0,14,53,11,11,60,TD
Illinois,Big Ten,Penn State,Big Ten,401012807,40101280719,false,4,12,14,4,12,14,18,35,2,0,INT
Penn State,Big Ten,Illinois,Big Ten,401012807,40101280720,true,4,21,14,4,0,14,9,9,1,21,TD
Illinois,Big Ten,Penn State,Big Ten,401012807,40101280721,false,4,35,14,4,66,10,34,35,9,31,MISSED FG
Penn State,Big Ten,Illinois,Big Ten,401012807,40101280722,true,4,66,10,4,0,9,58,36,2,66,TD
Illinois,Big Ten,Penn State,Big Ten,401012807,40101280723,false,4,25,9,4,52,7,12,46,8,29,DOWNS
