id,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text
401013027104917303,Baylor,Big 12,UT San Antonio,Conference USA,30,20,40101302722,4,8,26,71,3,3,6,Pass Reception,Charlie Brewer pass complete to Chris Platt for 6 yds to the Bayl 35 for a 1ST down
401013027104917301,Baylor,Big 12,UT San Antonio,Conference USA,30,20,40101302722,4,8,26,78,1,10,9,Rush,Charlie Brewer run for 9 yds to the Bayl 31
401013027104917302,Baylor,Big 12,UT San Antonio,Conference USA,30,20,40101302722,4,8,26,69,2,1,-2,Rush,JaMycal Hasty run for a loss of 2 yards to the Bayl 29
401013027104964301,Baylor,Big 12,UT San Antonio,Conference USA,30,20,40101302722,4,3,56,43,3,12,0,Timeout,"Timeout UT SAN ANTONIO, clock 03:56"
401013027104917306,Baylor,Big 12,UT San Antonio,Conference USA,30,20,40101302722,4,8,26,66,3,11,25,Pass Reception,Charlie Brewer pass complete to Tyquan Thornton for 25 yds to the TexSA 41 for a 1ST down
401013027104984301,Baylor,Big 12,UT San Antonio,Conference USA,30,20,40101302722,4,1,56,1,2,0,0,Timeout,"Timeout UT SAN ANTONIO, clock 01:56"
401013027104987003,Baylor,Big 12,UT San Antonio,Conference USA,37,20,40101302723,4,1,29,65,1,0,27,Kickoff,"Drew Galitz kickoff for 64 yds , Matt Guidry return for 27 yds to the UTSA 38 BAYLOR Penalty, personal foul (Christian Morgan) to the TexSA 43"
401013027104987007,UT San Antonio,Conference USA,Baylor,Big 12,20,37,40101302723,4,1,29,55,2,10,0,Pass Incompletion,"Cordale Grundy pass incomplete to Gavin Sharp, broken up by Jordan Williams"
401013027104987010,UT San Antonio,Conference USA,Baylor,Big 12,20,37,40101302723,4,1,29,57,4,8,0,Pass Incompletion,Cordale Grundy pass incomplete to Tariq Woolen
401013027104987009,UT San Antonio,Conference USA,Baylor,Big 12,20,37,40101302723,4,1,29,50,3,15,7,Pass Reception,Cordale Grundy pass complete to Blaze Moorhead for 7 yds to the Bayl 43
401013027104987008,UT San Antonio,Conference USA,Baylor,Big 12,20,37,40101302723,4,1,29,55,3,10,-5,Penalty,"UT SAN ANTONIO Penalty, false start (Treyvion Shannon) to the 50 yard line"
401013027104987006,UT San Antonio,Conference USA,Baylor,Big 12,20,37,40101302723,4,1,29,55,1,10,0,Pass Incompletion,"Cordale Grundy pass incomplete to Tykee Ogle-Kellogg, broken up by Harrison Hand"
401013027104987005,UT San Antonio,Conference USA,Baylor,Big 12,20,37,40101302723,4,1,29,43,2,10,12,Pass Reception,Cordale Grundy pass complete to Blaze Moorhead for 12 yds to the Bayl 45 for a 1ST down
401013027104987004,UT San Antonio,Conference USA,Baylor,Big 12,20,37,40101302723,4,1,29,43,1,10,0,Pass Incompletion,Cordale Grundy pass incomplete to Blaze Moorhead
401013027104999902,Baylor,Big 12,UT San Antonio,Conference USA,37,20,40101302724,4,,,0,0,5,0,End Period,End of 4th Quarter
401013027104997501,Baylor,Big 12,UT San Antonio,Conference USA,37,20,40101302724,4,,24,57,1,10,5,Rush,Trestan Ebner run for 5 yds to the Bayl 48
401013049102916803,Central Michigan,Mid-American,Kansas,Big 12,0,0,40101304910,2,8,31,25,3,3,-7,Sack,Tony Poljan sacked by Keith Loneker Jr. for a loss of 7 yards to the CMich 18
401013049102916802,Central Michigan,Mid-American,Kansas,Big 12,0,0,40101304910,2,8,31,19,2,9,6,Rush,Tony Poljan run for 6 yds to the CMich 25
401013049102916801,Central Michigan,Mid-American,Kansas,Big 12,0,0,40101304910,2,8,31,18,1,10,1,Rush,Tony Poljan run for 1 yd to the CMich 19
401013049102916804,Central Michigan,Mid-American,Kansas,Big 12,0,0,40101304910,2,8,31,18,4,10,10,Punt,"Jack Sheldon punt for 43 yds , Kwamie Lassiter II returns for 10 yds to the Kans 49"
401013049102936902,Kansas,Big 12,Central Michigan,Mid-American,0,0,40101304911,2,6,30,35,1,10,2,Pass Reception,Peyton Bender pass complete to Kerr Johnson Jr. for 2 yds to the CMich 33
401013049102936903,Kansas,Big 12,Central Michigan,Mid-American,0,0,40101304911,2,6,30,33,2,8,2,Rush,Dom Williams run for 2 yds to the CMich 31
401013049102936901,Kansas,Big 12,Central Michigan,Mid-American,0,0,40101304911,2,6,30,51,1,10,16,Penalty,"CENTRAL MICH Penalty, personal foul (Luke Idoni) to the CMich 35 for a 1ST down"
401013049102948801,Kansas,Big 12,Central Michigan,Mid-American,7,0,40101304911,2,5,11,31,3,6,31,Passing Touchdown,"Peyton Bender pass complete to Kerr Johnson Jr. for 31 yds for a TD, (Gabriel Rui KICK)"
401013049102948805,Central Michigan,Mid-American,Kansas,Big 12,0,7,40101304912,2,5,11,16,1,20,4,Pass Reception,Tony Poljan pass complete to Brandon Childress for 4 yds to the CMich 20
401013049102948806,Central Michigan,Mid-American,Kansas,Big 12,0,7,40101304912,2,5,11,20,2,16,6,Rush,Kumehnnu Gwilly run for 6 yds to the CMich 26
401013049102948807,Central Michigan,Mid-American,Kansas,Big 12,0,7,40101304912,2,5,11,26,3,10,6,Rush,Tony Poljan run for 6 yds to the CMich 32
